Substitution,Frequency,Function
-1,-0.91,15.2
-0.81,-0.42,4.6
-1,-0.9,12.8
-1,-0.81,6.2
-0.93,-0.93,9.9
-1,-0.3,13.5
-1,-0.95,4.3
-1,-0.8,15.4
-0.9,-0.88,10
-0.82,-0.33,11.2
-0.94,-0.64,14.9
-0.84,-0.62,6.8
-0.93,-0.9,1.2
-0.94,0.12,4.9
-0.9,,5.2
-0.94,,4.5
,,3.7
,,2.5
,,4.9
,,4.7
,,4.9
,,6.4
